Timestamps,Temperature_Bench1,Carbon Dioxide concentration_Bench1,Temperature_Ceiling1,is_anomaly,neg_log_anomaly_score
1543035472657,16.58,376.0,16.04,0.0,-9.741042692684893
1543035474316,16.58,376.0,16.03,0.0,-10.818307855480938
1543035474316,16.58,376.0,16.03,0.0,-10.82438091237939
1543035474316,16.58,376.0,16.03,0.0,-10.836463498685552
1543035474316,16.58,376.0,16.03,0.0,-10.822593147584701
1543035475317,16.58,376.0,16.03,0.0,-8.154085122869787
1543035476317,16.57,376.0,16.03,0.0,-10.811710703089025
1543035477522,16.57,376.0,16.03,0.0,-10.82291931334236
1543035478318,16.57,376.0,16.03,0.0,-10.814959927791058
1543035479319,16.57,376.0,16.03,0.0,-9.242617941837239
1543035480325,16.57,376.0,16.02,0.0,-10.809386943280177
1543035481321,16.57,376.0,16.02,0.0,-8.066895719053761
1543035482440,16.56,376.0,16.02,0.0,-10.83408225038449
1543035483640,16.56,376.0,16.02,0.0,-10.828573442570669
1543035483640,16.56,376.0,16.02,0.0,-10.815694229263372
1543035485321,16.56,376.0,16.02,0.0,-10.816790140738876
1543035485321,16.56,376.0,16.02,0.0,-10.823775973991651
1543035485321,16.56,376.0,16.02,0.0,-10.82409706312908
1543035485321,16.56,376.0,16.02,0.0,-10.80547769868321
1543035486355,16.56,376.0,16.02,0.0,-10.822710467926564
1543035487375,16.56,376.0,16.02,0.0,-7.889344136072439
1543035488520,16.55,376.0,16.02,0.0,-10.793762078133774
1543035489445,16.55,376.0,16.02,0.0,-10.828418546354891
1543035490441,16.55,376.0,16.02,0.0,-9.299864250333126
1543035491454,16.55,376.0,16.01,0.0,-8.14676950569524
1543035492495,16.54,376.0,16.01,0.0,-10.817585258381918
1543035493497,16.54,376.0,16.01,0.0,-10.835957981261185
1543035494640,16.54,376.0,16.01,0.0,-10.806589811018073
1543035494640,16.54,376.0,16.01,0.0,-10.805645438100683
1543035496566,16.54,376.0,16.01,0.0,-10.823968811277588
1543035496566,16.54,376.0,16.01,0.0,-10.790211387244707
1543035496566,16.54,376.0,16.01,0.0,-10.818769441630243
1543035496566,16.54,376.0,16.01,0.0,-10.821817874318585
1543035497585,16.54,376.0,16.01,0.0,-6.942225871636901
1543035498319,16.53,376.0,16.01,0.0,-10.821548068907612
1543035499645,16.53,376.0,16.01,0.0,-10.817492608446013
1543035499645,16.53,376.0,16.01,0.0,-10.80432912790656
1543035501326,16.53,376.0,16.01,0.0,-10.836846048415259
1543035501326,16.53,376.0,16.01,0.0,-10.823678112270398
1543035501326,16.53,376.0,16.01,0.0,-10.836415370415972
1543035501326,16.53,376.0,16.01,0.0,-10.826902435109918
1543035502317,16.53,376.0,16.01,0.0,-9.278855507258116
1543035503326,16.53,376.0,16.0,0.0,-10.818015331352733
1543035504440,16.53,376.0,16.0,0.0,-10.834581718804976
1543035505774,16.53,376.0,16.0,0.0,-10.817172811566962
1543035505774,16.53,376.0,16.0,0.0,-10.825528897551397
1543035507440,16.53,376.0,16.0,0.0,-10.825766266506555
1543035507440,16.53,376.0,16.0,0.0,-10.821883063338168
1543035507440,16.53,376.0,16.0,0.0,-10.84262967667854
1543035507440,16.53,376.0,16.0,0.0,-9.13450617260883
1543035508326,16.53,376.0,15.99,0.0,-10.855579791861107
1543035509324,16.53,376.0,15.99,0.0,-10.808887891166703
1543035510517,16.53,376.0,15.99,0.0,-6.999975935048272
