podkin_drova,timestamps,temp
False,1543021468102,110.27
False,1543021469437,110.26
False,1543021470458,110.26
False,1543021471202,110.26
False,1543021472104,110.23
False,1543021473103,110.23
False,1543021474104,110.26
False,1543021475304,110.24
False,1543021476636,110.25
False,1543021477310,110.25
False,1543021478106,110.24
False,1543021479105,110.21
False,1543021480208,110.22
False,1543021481403,110.24
False,1543021482203,110.21
False,1543021483113,110.19
False,1543021484149,110.19
False,1543021485149,110.16
False,1543021486303,110.19
False,1543021487149,110.21
False,1543021488148,110.2
False,1543021489149,110.19
False,1543021490149,110.18
False,1543021491201,110.18
False,1543021492401,110.15
False,1543021493211,110.21
False,1543021494148,110.2
False,1543021495199,110.14
False,1543021496149,110.17
False,1543021497304,110.15
False,1543021498505,110.18
False,1543021499306,110.18
False,1543021500202,110.16
False,1543021501203,110.14
False,1543021502207,110.14
False,1543021503402,110.12
False,1543021504248,110.12
False,1543021505294,110.1
False,1543021506294,110.09
False,1543021507310,110.07
False,1543021508349,110.09
False,1543021509505,110.09
False,1543021510357,110.09
False,1543021511407,110.05
False,1543021512428,110.12
False,1543021513449,110.14
False,1543021514493,110.06
False,1543021515202,110.06
False,1543021516202,110.09
False,1543021517202,110.06
False,1543021518201,110.12
False,1543021519304,110.12
False,1543021520638,110.13
False,1543021521304,110.13
False,1543021522201,110.12
False,1543021523200,110.11
False,1543021524200,110.09
False,1543021525399,110.09
False,1543021526201,110.07
False,1543021527200,110.07
False,1543021528199,110.07
False,1543021529200,110.04
False,1543021530302,110.05
False,1543021531511,110.03
False,1543021532896,110.05
False,1543021533506,110.05
False,1543021534401,110.05
False,1543021535201,110.02
False,1543021536402,110.04
False,1543021537205,109.96
False,1543021538200,110.03
False,1543021539201,110.0
False,1543021540202,110.04
False,1543021541310,110.01
False,1543021542506,110.04
False,1543021543313,110.04
False,1543021544202,110.04
False,1543021545207,110.06
False,1543021546207,110.04
False,1543021547403,110.05
False,1543021548213,110.03
False,1543021549228,110.03
False,1543021550249,110.05
False,1543021551295,110.05
False,1543021552311,110.06
False,1543021553503,110.06
False,1543021554318,110.06
False,1543021555350,110.07
False,1543021556359,110.07
False,1543021557409,110.09
False,1543021558428,110.09
False,1543021559603,110.1
False,1543021560459,110.11
False,1543021561495,110.06
False,1543021562239,110.06
False,1543021563305,110.1
False,1543021564640,110.06
False,1543021565306,110.06
False,1543021566239,110.03
False,1543021567239,110.07
False,1543021568242,110.03
False,1543021569400,110.07
False,1543021570750,110.04
False,1543021571402,110.04
False,1543021572311,110.03
False,1543021573303,110.01
False,1543021574304,110.01
False,1543021575504,109.99
False,1543021576303,109.99
False,1543021577303,109.98
False,1543021578310,109.99
False,1543021579311,110.01
False,1543021580401,109.96
False,1543021581601,110.01
False,1543021582401,110.01
False,1543021583648,110.01
False,1543021584304,110.01
False,1543021585305,110.01
False,1543021586505,110.0
False,1543021587704,110.0
False,1543021588504,109.98
False,1543021589504,109.99
False,1543021590314,109.99
False,1543021591399,109.98
False,1543021592600,109.94
False,1543021593802,109.94
False,1543021594606,109.95
False,1543021595601,109.95
False,1543021596312,109.95
False,1543021597504,109.94
False,1543021598351,109.94
False,1543021599350,109.92
False,1543021600400,109.92
False,1543021601419,109.92
False,1543021602439,109.91
False,1543021603601,109.91
False,1543021604495,109.92
False,1543021605496,109.9
False,1543021606509,109.95
False,1543021607551,109.92
False,1543021608552,109.93
False,1543021609311,109.93
False,1543021610303,109.99
False,1543021611305,109.99
False,1543021612312,109.94
False,1543021613402,109.95
False,1543021614751,109.93
False,1543021615402,109.93
False,1543021616304,109.95
False,1543021617304,109.93
False,1543021618311,109.93
False,1543021619504,109.95
False,1543021620316,109.95
False,1543021621310,109.93
False,1543021622308,109.94
False,1543021623316,109.95
False,1543021624402,109.94
False,1543021625600,110.01
False,1543021626402,110.01
False,1543021627319,109.97
False,1543021628350,109.97
False,1543021629319,109.94
False,1543021630505,110.03
False,1543021631712,110.01
False,1543021632503,109.96
False,1543021633402,109.96
False,1543021634352,109.97
False,1543021635403,109.95
False,1543021636601,109.98
False,1543021637801,109.98
False,1543021638601,110.0
False,1543021639503,109.97
False,1543021640401,109.97
False,1543021641512,109.96
False,1543021642703,110.0
False,1543021643903,109.97
False,1543021644703,110.01
False,1543021645610,109.96
False,1543021646400,109.96
False,1543021647605,109.93
False,1543021648441,109.93
False,1543021649460,109.94
False,1543021650496,109.91
False,1543021651501,109.87
False,1543021652521,109.89
False,1543021653703,109.86
False,1543021654560,109.87
False,1543021655611,109.88
False,1543021656630,109.86
False,1543021657647,109.86
False,1543021658660,109.85
False,1543021659405,109.85
False,1543021660400,109.84
False,1543021661400,109.79
False,1543021662401,109.78
False,1543021663510,109.8
False,1543021664841,109.81
False,1543021665505,109.73
False,1543021666402,109.73
False,1543021667401,109.78
False,1543021668402,109.77
False,1543021669602,109.8
False,1543021670401,109.8
False,1543021671402,109.77
False,1543021672399,109.74
False,1543021673401,109.75
False,1543021674503,109.77
False,1543021675704,109.77
False,1543021676505,109.75
False,1543021677400,109.75
False,1543021678401,109.77
False,1543021679402,109.74
False,1543021680602,109.75
False,1543021681410,109.75
False,1543021682409,109.73
False,1543021683403,109.74
False,1543021684402,109.72
False,1543021685506,109.72
False,1543021686705,109.7
False,1543021687511,109.66
False,1543021688402,109.66
False,1543021689401,109.65
False,1543021690412,109.66
False,1543021691602,109.66
False,1543021692411,109.66
False,1543021693432,109.65
False,1543021694452,109.65
False,1543021695496,109.69
False,1543021696502,109.63
False,1543021697705,109.69
False,1543021698522,109.67
False,1543021699552,109.67
False,1543021700561,109.67
False,1543021701602,109.67
False,1543021702628,109.71
False,1543021703802,109.68
False,1543021705006,109.67
False,1543021705807,109.68
False,1543021706701,109.64
False,1543021707722,109.66
False,1543021708754,109.68
False,1543021709754,109.67
False,1543021710803,109.7
False,1543021711447,109.7
False,1543021712505,109.67
False,1543021713852,109.65
False,1543021714515,109.61
False,1543021715506,109.62
False,1543021716503,109.6
False,1543021717505,109.62
False,1543021718602,109.62
False,1543021719954,109.62
False,1543021720606,109.59
False,1543021721511,109.59
False,1543021722512,109.62
False,1543021723506,109.62
False,1543021724710,109.63
False,1543021725504,109.62
False,1543021726504,109.6
False,1543021727504,109.6
False,1543021728505,109.58
False,1543021729603,109.59
False,1543021730803,109.57
False,1543021731603,109.56
False,1543021732505,109.57
False,1543021733505,109.53
False,1543021734512,109.53
False,1543021735704,109.53
False,1543021736904,109.53
False,1543021737706,109.54
False,1543021738505,109.56
False,1543021739507,109.56
False,1543021740603,109.55
False,1543021741801,109.54
False,1543021742603,109.54
False,1543021743512,109.52
False,1543021744506,109.58
False,1543021745507,109.53
